company,title,salary,location,submit date,start date
COMPANY 3/METHOD INC,ASSOCIATE PRODUCER,"50,000","NEW YORK, NY",08/25/2021,08/25/2021
COMPANY 3 / METHOD INC,CG GENERALIST,"114,400","ATLANTA, GA",02/17/2022,08/06/2022
COMPANY 3 / METHOD INC,CG GENERALIST,"114,400","ATLANTA, GA",02/17/2022,08/06/2022
COMPANY 3 / METHOD INC,COMPOSITOR,"55,994","NEW YORK, NY",09/20/2023,10/01/2023
COMPANY 3 / METHOD INC,COMPOSITOR,"55,994","NEW YORK, NY",09/11/2023,10/01/2023
COMPANY 3/METHOD INC,CREATIVE DIRECTOR,"100,000","ATLANTA, GA",03/16/2021,03/29/2021
COMPANY 3/METHOD INC,CREATIVE DIRECTOR,"100,000","ATLANTA, GA",01/31/2024,08/01/2024
COMPANY 3/METHOD INC,CREATIVE DIRECTOR,"130,000","ATLANTA, GA",02/17/2022,08/01/2022
COMPANY 3/METHOD INC,CREATIVE DIRECTOR,"130,000","ATLANTA, GA",02/17/2022,08/01/2022
COMPANY 3/METHOD INC (F/K/A DELUXE CREATIVE SERVICES INC),CREATIVE DIRECTOR,"250,000","SANTA MONICA, CA",01/12/2021,03/18/2021
COMPANY 3/METHOD INC (F/K/A DELUXE CREATIVE SERVICES INC),CREATIVE DIRECTOR,"250,000","SANTA MONICA, CA",03/19/2021,08/01/2021
COMPANY 3/METHOD INC,DAILIES PRODUCER,"60,000","NEW YORK, NY",03/04/2024,08/23/2024
COMPANY 3/METHOD INC,EC3 MOBILABS SPECIALIST,"65,000","LOS ANGELES, CA",04/02/2023,10/01/2023
COMPANY 3 / METHOD INC,"GLOBAL HEAD OF CORE TECHNOLOGY, VFX","150,000","SANTA MONICA, CA",01/05/2021,02/04/2021
COMPANY 3 / METHOD INC,"GLOBAL HEAD OF CORE TECHNOLOGY, VFX","150,000","SANTA MONICA, CA",01/11/2021,02/04/2021
COMPANY OR ORGANIZATION LEGAL NAME,JOB TITLE,"40,000","CCCC, AK",12/29/2023,03/30/2024
COMPANY OR ORGANIZATION LEGAL NAME,JOB TITLE,"40,000","CC, GU",12/29/2023,03/30/2024
COMPANY OR ORGANIZATION LEGAL NAME,JOB TITLE,"2,334","HAYWARD, AZ",12/28/2023,03/30/2024
COMPANY OR ORGANIZATION LEGAL NAME(TEST)1-2,JOB TITLE,"3,976","CITYORT, CA",04/22/2024,04/22/2024
COMPANY OR ORGANIZATION LEGAL NAME,JOB TITLE,"234,234","SAN JOSE, GA",12/22/2023,12/26/2023
COMPANY 3 / METHOD INC,"LEAD ARTIST, CHARACTER MODELER","104,000","SANTA MONICA, CA",03/17/2022,09/14/2022
COMPANY 3 / METHOD INC,"LEAD ARTIST, CHARACTER MODELER","104,000","SANTA MONICA, CA",03/17/2022,09/14/2022
COMPANYON LLC,MANAGING DIRECTOR,"150,000","IRVINE, CA",01/21/2021,02/01/2021
COMPANYON LLC,MANAGING DIRECTOR,"150,000","IRVINE, CA",02/01/2021,02/08/2021
COMPANYON LLC,MANAGING DIRECTOR,"150,000","BOSTON, MA",01/25/2019,06/20/2019
COMPANYON LLC,MANAGING DIRECTOR,"180,000","BOSTON, MA",07/26/2020,10/01/2020
COMPANYON LLC,MANAGING DIRECTOR,"200,000","IRVINE, CA",10/17/2023,02/01/2024
COMPANY 3/METHOD INC,PIPELINE TECHNICAL DEVELOPER,"80,000","NEW YORK, NY",08/02/2021,10/01/2021
COMPANY 3 METHOD INC,PIPELINE TECHNICAL DIRECTOR,"80,122","SANTA MONICA, CA",04/28/2023,10/01/2023
COMPANYCAM INC,PRODUCT MANAGER,"127,000","SAN FRANCISCO, CA",04/27/2024,10/01/2024
COMPANY BOX LLC,"SOFTWARE DEVELOPER, APPLICATIONS","86,700","CHARLOTTE, NC",12/07/2021,12/07/2021
COMPANY 3/METHOD INC,SOFTWARE ENGINEER,"125,000","LOS ANGELES, CA",03/13/2023,09/12/2023
COMPANY 3/METHOD INC,SOFTWARE ENGINEER,"125,000","LOS ANGELES, CA",03/13/2023,09/12/2023
COMPANY 3 / METHOD INC,"SR. MANAGER, IT APPLICATIONS","140,000","SANTA MONICA, CA",01/04/2022,01/17/2022
COMPANY 3 / METHOD INC,"SR. MANAGER, IT APPLICATIONS","140,000","SANTA MONICA, CA",01/04/2022,01/17/2022
COMPANY 3 / METHOD INC,"SVP, TECHNOLOGY","200,000","SANTA MONICA, CA",11/18/2022,02/04/2023
COMPANY OR ORGANIZATION LEGAL NAME,TTLTE,"50,000","NAPA, CA",05/09/2024,09/01/2024
COMPANYWIDE LLC,WEB DEVELOPER,"60,000","BOSTON, MA",03/13/2019,09/12/2019
A123,SENIOR SYSTEMS TEST ENGINEER,"110,000","LIVONIA, MI",10/25/2018,11/26/2018
AMPRIUS TECHNOLOGIES INC,BATTERY MANUFACTURING ENGINEER,"124,197","FREMONT, CA",10/22/2021,11/01/2021
AMPRIUS TECHNOLOGIES INC,DIRECTOR OF PRODUCT ENGINEERING,"140,920","FREMONT, CA",12/27/2022,12/30/2022
AMPRIUS TECHNOLOGIES INC,SENIOR MANUFACTURING ENGINEER,"124,197","FREMONT, CA",10/22/2021,11/01/2021
AMPRIUS TECHNOLOGIES INC,STAFF BATTERY PRODUCT ENGINEERÂ ,"140,046","FREMONT, CA",09/05/2023,09/08/2023
AMPRIUS TECHNOLOGIES INC,STAFF MECHANICAL ENGINEER,"148,096","FREMONT, CA",06/15/2023,06/26/2023
AMPRIUS TECHNOLOGIES INC,STAFF PRODUCT ENGINEER,"131,310","FREMONT, CA",03/27/2023,03/30/2023
AMPRIUS TECHNOLOGIES INC,Â QUALITY MANAGER,"132,163","FREMONT, CA",02/16/2023,02/21/2023
ASCEND ELEMENTS INC,ASSOCIATE BATTERY MATERIALS ENGINEER,"70,000","WESTBOROUGH, MA",05/01/2024,10/01/2024
ASCEND ELEMENTS INC,ASSOCIATE FINANCIAL ANALYST,"70,000","WESTBOROUGH, MA",09/07/2023,10/01/2023
ASCEND ELEMENTS INC,ASSOCIATE PROCESS ENGINEER,"70,000","WESTBOROUGH, MA",05/01/2024,10/01/2024
ASCEND ELEMENTS INC,BATTERY SCIENTIST,"98,000","WESTBOROUGH, MA",02/02/2022,02/08/2022
ASCEND ELEMENTS INC,BATTERY TEST ENGINEER,"97,500","NOVI, MI",02/11/2022,02/21/2022
ASCEND ELEMENTS INC,CHEMICAL PROCESS ENGINEER,"125,000","WESTBOROUGH, MA",09/07/2023,10/01/2023
ASCEND ELEMENTS INC,CORPORATE ENVIRONMENTAL HEALTH AND SAFETY ENGINEER,"76,000","WESTBOROUGH, MA",04/01/2024,10/01/2024
ASCEND ELEMENTS INC,DIRECTOR OF CATHODE DEVELOPMENT AND ANALYSIS,"190,000","WESTBOROUGH, MA",05/18/2023,10/01/2023
ASCEND ELEMENTS INC,ENVIRONMENTAL LIFE-CYCLE ASSESSMENT ANALYST,"100,932","WESTBOROUGH, MA",05/01/2024,10/01/2024
ASCEND ELEMENTS INC,INDUSTRIAL ENGINEER,"100,000","HOPKINSVILLE, KY",04/29/2024,05/20/2024
ASCEND ELEMENTS INC,INDUSTRIAL ENGINEER,"100,000","HOPKINSVILLE, KY",05/07/2024,05/20/2024
ASCEND ELEMENTS INC,INORGANIC CHEMIST PROCESS ENGINEER,"110,000","WESTBOROUGH, MA",12/09/2022,12/12/2022
ASCEND ELEMENTS INC,"MANAGER, CATHODE AME","143,000","WESTBOROUGH, MA",06/15/2022,10/01/2022
ASCEND ELEMENTS INC,MARKET INTELLIGENCE MANAGER,"120,000","WESTBOROUGH, MA",05/01/2024,10/01/2024
ASCEND ELEMENTS INC,PROCESS ENGINEER,"85,000","WESTBOROUGH, MA",05/01/2024,10/01/2024
ASCEND ELEMENTS INC,QUALITY ENGINEER,"82,000","WESTBOROUGH, MA",05/01/2024,10/01/2024
ASCEND ELEMENTS INC,QUALITY ENGINEER,"93,000","WESTBOROUGH, MA",06/02/2023,10/01/2023
ASCEND ELEMENTS INC,RESEARCH SCIENTIST,"70,000","WESTBOROUGH, MA",05/01/2024,10/01/2024
ASCEND ELEMENTS INC,SENIOR CHEMICAL PROCESS ENGINEER,"125,000","HOPKINSVILLE, KY",04/03/2024,04/22/2024
ASCEND ELEMENTS INC,STAFF ACCOUNTANT,"75,000","WESTBOROUGH, MA",05/01/2024,10/01/2024
ASCEND ELEMENTS INC,STAFF ACCOUNTANT,"80,000","WESTBOROUGH, MA",06/16/2023,06/19/2023
ATIEVA USA INC,ACCOUNTANT,"60,000","NEWARK, CA",02/07/2019,08/09/2019
ATIEVA USA INC,ADAS AD HIL VALIDATION ENGINEER,"125,000","NEWARK, CA",04/13/2020,10/01/2020
ATIEVA USA INC,AEROACOUSTICS ENGINEER,"130,000","NEWARK, CA",12/20/2018,12/31/2018
ATIEVA USA INC,ANDROID SOFTWARE ENGINEER,"119,122","NEWARK, CA",05/22/2020,10/01/2020
ATIEVA USA INC,ANDROID SOFTWARE ENGINEER,"125,000","NEWARK, CA",08/18/2020,10/01/2020
ATIEVA USA INC,ANDROID SOFTWARE ENGINEER,"130,000","NEWARK, CA",10/03/2019,10/14/2019
ATIEVA USA INC,ANDROID SOFTWARE ENGINEER,"135,000","NEWARK, CA",10/25/2019,11/11/2019
ATIEVA USA INC,ANDROID SOFTWARE ENGINEER,"150,000","NEWARK, CA",10/23/2019,11/04/2019
ATIEVA USA INC,ASSOCIATE CAD ENGINEER,"85,000","NEWARK, CA",05/21/2020,10/01/2020
ATIEVA USA INC,ATLASSIAN SERVICE ENGINEER,"150,000","NEWARK, CA",02/13/2020,03/09/2020
ATIEVA USA INC,AUTOMOTIVE ELECTRONICS TEST AND VALIDATION ENGINEER,"130,000","NEWARK, CA",07/18/2019,08/05/2019
ATIEVA USA INC,AUTOMOTIVE ENGINEER,"79,810","CASA GRANDE, AZ",10/07/2020,10/26/2020
ATIEVA USA INC,AUTOMOTIVE ENGINEER,"83,949","CASA GRANDE, AZ",10/07/2020,10/26/2020
ATIEVA USA INC,AUTOMOTIVE ENGINEER,"86,466","CASA GRANDE, AZ",10/07/2020,10/26/2020
ATIEVA USA INC,AUTOMOTIVE ENGINEER,"97,011","NEWARK, CA",10/07/2020,10/26/2020
ATIEVA USA INC,AUTOMOTIVE ENGINEER,"100,568","NEWARK, CA",10/07/2020,10/26/2020
ATIEVA USA INC,AUTOMOTIVE ENGINEER,"103,168","NEWARK, CA",10/07/2020,10/26/2020
ATIEVA USA INC,AUTOMOTIVE ENGINEER,"112,798","NEWARK, CA",10/07/2020,10/26/2020
ATIEVA USA INC,AUTOMOTIVE ENGINEER,"120,994","NEWARK, CA",10/07/2020,10/26/2020
ATIEVA USA INC,AUTOMOTIVE ENGINEER,"123,261","NEWARK, CA",10/07/2020,10/26/2020
ATIEVA USA INC,AUTOMOTIVE ENGINEER,"128,586","NEWARK, CA",10/07/2020,10/26/2020
ATIEVA USA INC,AUTOMOTIVE ENGINEER,"141,398","NEWARK, CA",10/07/2020,10/26/2020
ATIEVA USA INC,AUTOMOTIVE ENGINEER,"143,374","NEWARK, CA",10/07/2020,10/26/2020
ATIEVA USA INC,AUTOMOTIVE SW TEST AND VALIDATION ENGINEER,"130,000","NEWARK, CA",08/04/2020,08/24/2020
ATIEVA USA INC,AUTOMOTIVE SW TEST AND VALIDATION ENGINEER,"135,000","NEWARK, CA",04/13/2020,10/01/2020
ATIEVA USA INC,AUTOMOTIVE SW TEST AND VALIDATION ENGINEER,"135,000","NEWARK, CA",04/13/2020,10/01/2020
ATIEVA USA INC,AUTOMOTIVE SW TEST AND VALIDATION ENGINEER,"160,000","NEWARK, CA",10/01/2020,11/02/2020
ATIEVA USA INC,AUTOMOTIVE TEST AND VALIDATION ENGINEER,"98,779","NEWARK, CA",08/13/2019,10/28/2019
ATIEVA USA INC,AUTOMOTIVE TEST AND VALIDATION ENGINEER,"112,299","NEWARK, CA",04/14/2020,10/01/2020
ATIEVA USA INC,AUTOMOTIVE TEST AND VALIDATION ENGINEER,"120,000","NEWARK, CA",09/19/2019,10/28/2019
ATIEVA USA INC,AUTONOMOUS DRIVING DATA ENGINEER,"150,000","NEWARK, CA",09/29/2020,10/19/2020
ATIEVA USA INC,BIW LAUNCH MANAGER - DFM,"180,000","NEWARK, CA",04/17/2020,10/01/2020
ATIEVA USA INC,CAE ENGINEER MECHANICAL ENGINEER,"130,000","NEWARK, CA",07/08/2020,07/20/2020
ATIEVA USA INC,"CAE ENGINEER, DURABILITY","125,000","NEWARK, CA",04/15/2019,04/23/2019
ATIEVA USA INC,CAE TECHNICAL SPECIALIST,"145,000","NEWARK, CA",04/09/2019,04/29/2019
ATIEVA USA INC,CHIEF TECHNOLOGY OFFICER,"400,000","NEWARK, CA",04/02/2019,04/30/2019
ATIEVA USA INC,"CONTROLS ENGINEER, AUTONOMOUS DRIVING","118,000","NEWARK, CA",04/27/2020,10/01/2020
ATIEVA USA INC,CRAFTSMANSHIP ENGINEER,"110,000","NEWARK, CA",04/21/2020,10/01/2020
ATIEVA USA INC,DATA ENGINEER,"110,000","NEWARK, CA",02/04/2019,08/06/2019
ATIEVA USA INC,DATA ENGINEER,"110,000","NEWARK, CA",02/04/2019,08/06/2019
ATIEVA USA INC,DATA ENGINEER,"115,000","NEWARK, CA",02/12/2019,08/14/2019
ATIEVA USA INC,DATA ENGINEER,"117,770","NEWARK, CA",05/08/2020,10/01/2020
ATIEVA USA INC,DATA ENGINEER,"127,920","NEWARK, CA",03/04/2019,09/03/2019
ATIEVA USA INC,"DESIGN ENGINEER, EXTERIOR SYSTEMS","100,000","NEWARK, CA",08/25/2020,10/01/2020
ATIEVA USA INC,"DESIGN ENGINEER, EXTERIOR SYSTEMS","115,000","NEWARK, CA",02/25/2019,03/05/2019
ATIEVA USA INC,DESIGN RELEASE ENGINEER - LIGHTING SYSTEMS,"108,000","NEWARK, CA",05/01/2020,10/01/2020
ATIEVA USA INC,"DESIGN RELEASE ENGINEER, LIGHTING SYSTEMS","85,000","NEWARK, CA",04/17/2020,10/01/2020
ATIEVA USA INC,DEVELOPMENT VERIFICATION ENGINEER,"128,731","NEWARK, CA",10/20/2020,11/02/2020
ATIEVA USA INC,DIAGNOSTICS SYSTEMS ENGINEER,"135,000","NEWARK, CA",07/28/2020,08/17/2020
ATIEVA USA INC,DIGITAL MODELER,"145,000","NEWARK, CA",08/21/2019,09/23/2019
ATIEVA USA INC,DMU ENGINEER,"115,000","NEWARK, CA",07/17/2020,07/27/2020
ATIEVA USA INC,DRIVE UNIT TEST AND VALIDATION ENGINEER,"95,000","NEWARK, CA",05/29/2020,10/01/2020
ATIEVA USA INC,DRIVE UNIT TEST AND VALIDATION ENGINEER,"100,000","NEWARK, CA",04/21/2020,10/01/2020
ATIEVA USA INC,DRIVE UNIT TEST AND VALIDATION ENGINEER,"120,000","NEWARK, CA",08/26/2020,08/26/2020
ATIEVA USA INC,ELECTROMAGNETIC ANALYSIS ENGINEER,"120,000","NEWARK, CA",11/06/2018,11/15/2018
ATIEVA USA INC,EMBEDDED SOFT. ENG. Ã± ADAS AUTO. DRIVE,"160,000","NEWARK, CA",08/05/2020,08/17/2020
ATIEVA USA INC,EMBEDDED SOFTWARE ENGINEER,"115,000","NEWARK, CA",04/27/2020,10/01/2020
ATIEVA USA INC,ENGINEER - TECHNICAL SPECIALIST ERGONOMICS,"160,000","NEWARK, CA",05/26/2020,10/01/2020
ATIEVA USA INC,"ENGINEER, ADVANCED MANUFACTURING TEST","95,000","NEWARK, CA",04/16/2020,10/01/2020
ATIEVA USA INC,"ENGINEER, AUTOMOTIVE E E SYSTEMS INTEGRATION","110,000","NEWARK, CA",08/25/2020,10/01/2020
ATIEVA USA INC,"ENGINEER, AUTOMOTIVE EE SYSTEMS INTEGRATION","130,000","NEWARK, CA",01/29/2019,02/06/2019
ATIEVA USA INC,"ENGINEER, AUTOMOTIVE EE SYSTEMS INTEGRATION","130,000","NEWARK, CA",02/19/2019,08/21/2019
ATIEVA USA INC,"ENGINEER, AUTOMOTIVE EE SYSTEMS INTEGRATION","130,000","NEWARK, CA",01/30/2019,02/06/2019
ATIEVA USA INC,"ENGINEER, AUTONOMOUS DRIVING","117,770","NEWARK, CA",06/29/2020,07/06/2020
ATIEVA USA INC,"ENGINEER, BATTERY","100,000","NEWARK, CA",04/27/2020,10/01/2020
ATIEVA USA INC,"ENGINEER, BATTERY CELL TESTING","140,000","NEWARK, CA",05/28/2020,06/08/2020
ATIEVA USA INC,"ENGINEER, BATTERY SYSTEMS","100,000","NEWARK, CA",05/11/2020,08/28/2020
ATIEVA USA INC,"ENGINEER, BODY IN WHITE","90,000","NEWARK, CA",03/07/2019,09/06/2019
ATIEVA USA INC,"ENGINEER, BODY IN WHITE","91,978","NEWARK, CA",03/07/2019,09/06/2019
ATIEVA USA INC,"ENGINEER, BODY STRUCTURES","120,000","NEWARK, CA",01/10/2019,01/18/2019
ATIEVA USA INC,"ENGINEER, CHASSIS DESIGN AND RELEASE","135,000","NEWARK, CA",08/20/2020,09/14/2020
ATIEVA USA INC,"ENGINEER, CONTROLS","130,000","NEWARK, CA",02/22/2019,08/23/2019
ATIEVA USA INC,"ENGINEER, DRIVE UNIT TEST AND VALIDATION","122,250","NEWARK, CA",10/06/2020,11/02/2020
ATIEVA USA INC,"ENGINEER, EMBEDDED SOFTWARE - ADAS AUTONOMOUS DRIVING","120,000","NEWARK, CA",04/13/2020,10/01/2020
ATIEVA USA INC,"ENGINEER, INTERIOR COMPONENTS AND SYSTEMS","90,000","NEWARK, CA",04/06/2020,10/01/2020
ATIEVA USA INC,"ENGINEER, INTERIOR COMPONENTS AND SYSTEMS","98,779","NEWARK, CA",05/22/2020,10/01/2020
ATIEVA USA INC,"ENGINEER, INTERIOR COMPONENTS AND SYSTEMS","125,000","NEWARK, CA",10/07/2020,11/02/2020
ATIEVA USA INC,"ENGINEER, MOTOR CONTROLS","125,000","NEWARK, CA",03/26/2019,09/25/2019
ATIEVA USA INC,"ENGINEER, MOTOR CONTROLS","125,000","NEWARK, CA",08/18/2020,10/01/2020
ATIEVA USA INC,"ENGINEER, PERCEPTIONS ALGORITHM â AUTONOMOUS DRIVING","155,000","NEWARK, CA",10/02/2020,11/02/2020
ATIEVA USA INC,"ENGINEER, POWER ELECTRONICS HARDWARE","120,000","NEWARK, CA",05/29/2019,06/06/2019
ATIEVA USA INC,"ENGINEER, POWERTRAIN DEVELOPMENT","110,000","NEWARK, CA",04/27/2020,10/01/2020
ATIEVA USA INC,"ENGINEER, SEATING SYSTEMS","115,000","NEWARK, CA",07/08/2019,07/29/2019
ATIEVA USA INC,"ENGINEER, SOFTWARE","180,000","NEWARK, CA",08/10/2020,08/17/2020
ATIEVA USA INC,"ENGINEER, SOFTWARE","185,000","NEWARK, CA",09/15/2020,09/28/2020
ATIEVA USA INC,ENGINEERING TOOLS METHODS SPECIALIST,"155,000","NEWARK, CA",04/08/2019,04/29/2019
ATIEVA USA INC,"ENTERPRISE SYSTEMS TECHNICAL SPECIALIST, ERP COE","170,000","NEWARK, CA",09/10/2020,11/02/2020
ATIEVA USA INC,"ENTERPRISE SYSTEMS, ERP","170,000","NEWARK, CA",08/25/2020,09/07/2020
ATIEVA USA INC,FASTENER ENGINEER,"117,770","NEWARK, CA",06/24/2020,06/25/2020
ATIEVA USA INC,FINANCE ANALYST - PROGRAM AND PRODUCT COST,"117,000","NEWARK, CA",03/13/2020,03/30/2020
ATIEVA USA INC,FINANCIAL ANALYST,"119,101","NEWARK, CA",07/10/2020,07/27/2020
ATIEVA USA INC,FINANCIAL ANALYST,"119,101","SAN MATEO, CA",07/10/2020,07/27/2020
ATIEVA USA INC,FINANCIAL ANALYST - PROGRAM AND PRODUCT COST,"87,714","NEWARK, CA",06/19/2019,08/19/2019
ATIEVA USA INC,FUNCTIONAL SAFETY ENGINEER,"130,000","NEWARK, CA",06/25/2020,07/06/2020
ATIEVA USA INC,FUNCTIONAL SAFETY ENGINEER,"130,000","NEWARK, CA",07/31/2019,08/05/2019
ATIEVA USA INC,FUNCTIONAL SAFETY ENGINEER,"135,000","NEWARK, CA",04/04/2019,04/15/2019
ATIEVA USA INC,FUNCTIONAL SAFETY ENGINEER,"155,000","NEWARK, CA",03/19/2019,09/18/2019
ATIEVA USA INC,GLOBAL SUPPLY MANAGER,"110,000","NEWARK, CA",05/04/2020,10/01/2020
ATIEVA USA INC,GLOBAL SUPPLY MANAGER,"110,000","NEWARK, CA",04/07/2020,10/01/2020
ATIEVA USA INC,GLOBAL SUPPLY MANAGER,"115,000","NEWARK, CA",04/17/2020,10/01/2020
ATIEVA USA INC,"GLOBAL SUPPLY MANAGER, CAPITAL EQUIPMENT","130,000","NEWARK, CA",03/29/2019,04/08/2019
ATIEVA USA INC,"GLOBAL SUPPLY MANAGER, EXTERIOR INTERIOR","115,000","NEWARK, CA",10/15/2019,11/04/2019
ATIEVA USA INC,HARNESS SCHEMATICS ENGINEER,"130,000","NEWARK, CA",05/24/2019,06/03/2019
ATIEVA USA INC,INCOMING QUALITY ENGINEER,"110,000","CASA GRANDE, AZ",05/29/2020,06/15/2020
ATIEVA USA INC,"INDUSTRIAL ENG., BATTERY CELL TECH. SPEC., BATTERY CELL ENG","150,000","NEWARK, CA",08/06/2020,08/17/2020
ATIEVA USA INC,INDUSTRIAL ENGINEER,"105,000","CASA GRANDE, AZ",05/05/2020,05/11/2020
ATIEVA USA INC,INTEGRATION CRASH SENSING ENGINEER,"145,230","NEWARK, CA",08/30/2019,02/15/2020
ATIEVA USA INC,INTEGRATION ENGINEER AUTOMOTIVE,"185,000","NEWARK, CA",07/24/2020,08/03/2020
ATIEVA USA INC,"LEAD ENGINEER, SEATING SYSTEMS","170,000","NEWARK, CA",10/01/2020,10/19/2020
ATIEVA USA INC,LEAD SOFTWARE ENGINEER,"175,000","NEWARK, CA",04/03/2020,06/26/2020
ATIEVA USA INC,LEAD SOFTWARE ENGINEER,"175,000","NEWARK, CA",04/10/2020,06/26/2020
ATIEVA USA INC,"LEAD, MPB SOFTWARE","170,000","NEWARK, CA",05/27/2020,05/27/2020
ATIEVA USA INC,LOGISTICS ANALYST,"125,000","NEWARK, CA",02/28/2020,04/13/2020
ATIEVA USA INC,LOGISTICS PROGRAM MANAGER,"115,000","NEWARK, CA",04/27/2020,10/01/2020
ATIEVA USA INC,"MANAGER, BATTERY SOFTWARE","170,000","NEWARK, CA",05/28/2020,09/02/2020
ATIEVA USA INC,"MANAGER, E E AND SOFTWARE CONFIGURATION","200,000","NEWARK, CA",12/30/2019,01/13/2020
ATIEVA USA INC,"MANAGER, SUPPLIER QUALITY ENGINEER","140,000","TEMPE, AZ",06/05/2020,06/29/2020
ATIEVA USA INC,MANUFACTURING ENGINEER,"120,000","NEWARK, CA",04/01/2019,04/09/2019
ATIEVA USA INC,"MANUFACTURING ENGINEER, BODY IN WHITE","120,000","NEWARK, CA",10/15/2019,10/28/2019
ATIEVA USA INC,"MANUFACTURING ENGINEER, GENERAL ASSEMBLY","105,000","NEWARK, CA",10/15/2019,11/04/2019
ATIEVA USA INC,"MANUFACTURING ENGINEER, GENERAL ASSEMBLY","105,000","CASA GRANDE, AZ",07/21/2020,08/15/2020
ATIEVA USA INC,"MANUFACTURING ENGINEER, GENERAL ASSEMBLY","105,000","CASA GRANDE, AZ",07/29/2020,08/15/2020
ATIEVA USA INC,"MANUFACTURING ENGINEER, GENERAL ASSEMBLY","120,000","NEWARK, CA",05/08/2019,05/16/2019
ATIEVA USA INC,MANUFACTURING EQUIPMENT ENGINEER - BATTERY,"125,000","NEWARK, CA",05/10/2019,05/20/2019
ATIEVA USA INC,MAPPING AND LOCALIZATION ENGINEER,"130,894","NEWARK, CA",08/25/2020,09/14/2020
ATIEVA USA INC,MATERIAL FLOW DESIGN ENGINEER,"90,000","CASA GRANDE, AZ",02/24/2020,05/01/2020
ATIEVA USA INC,MATERIAL FLOW DESIGN ENGINEER,"100,000","CASA GRANDE, AZ",05/28/2020,06/08/2020
ATIEVA USA INC,MATERIAL FLOW DESIGN ENGINEER,"100,000","NEWARK, CA",04/03/2020,06/08/2020
ATIEVA USA INC,MATERIAL FLOW DESIGN ENGINEER,"105,300","NEWARK, CA",05/05/2020,05/11/2020
ATIEVA USA INC,MATERIAL FLOW DESIGN ENGINEER,"105,300","NEWARK, CA",02/24/2020,03/09/2020
ATIEVA USA INC,MATERIAL FLOW INDUSTRIAL ENGINEER,"100,000","NEWARK, CA",04/21/2020,10/01/2020
ATIEVA USA INC,MATERIAL FLOW INDUSTRIAL ENGINEER,"100,000","CASA GRANDE, AZ",06/03/2020,06/29/2020
ATIEVA USA INC,MATERIAL FLOW INDUSTRIAL ENGINEER,"100,000","MACUNGIE, PA",06/18/2020,06/29/2020
ATIEVA USA INC,MATERIAL FLOW INDUSTRIAL ENGINEER,"100,000","CASA GRANDE, AZ",07/27/2020,08/17/2020
ATIEVA USA INC,MATERIAL FLOW INDUSTRIAL ENGINEER,"100,000","CASA GRANDE, AZ",07/28/2020,08/17/2020
ATIEVA USA INC,MATERIAL FLOW INDUSTRIAL ENGINEER,"105,000","CASA GRANDE, AZ",06/01/2020,06/08/2020
ATIEVA USA INC,MATERIAL FLOW INDUSTRIAL ENGINEER,"105,000","NEWARK, CA",06/01/2020,06/08/2020
ATIEVA USA INC,MATERIALS PRODUCT MANAGER,"137,093","NEWARK, CA",04/07/2020,04/20/2020
ATIEVA USA INC,MECHANICAL ENGINEER,"105,000","NEWARK, CA",08/18/2020,10/01/2020
ATIEVA USA INC,MECHANICAL ENGINEER - ADAS PACKAGING,"150,000","NEWARK, CA",02/25/2020,03/09/2020
ATIEVA USA INC,MECHANICAL ENGINEER - CHASSIS,"100,000","NEWARK, CA",02/26/2019,08/28/2019
ATIEVA USA INC,MECHANICAL ENGINEER - CRASH MANAGEMENT SYSTEM,"125,000","NEWARK, CA",08/18/2020,09/07/2020
ATIEVA USA INC,MECHANICAL ENGINEER ADAS AD PARKING ASSIST,"140,000","NEWARK, CA",09/05/2019,09/23/2019
ATIEVA USA INC,MECHANICAL ENGINEER ENGINE CONFIGURATION MANAGEMENT,"160,000","NEWARK, CA",10/15/2020,11/09/2020
ATIEVA USA INC,"MECHANICAL ENGINEER, CHASSIS","110,000","NEWARK, CA",02/28/2019,03/11/2019
ATIEVA USA INC,"MECHANICAL ENGINEER, HARDWARE DESIGN AND PACKAGING","105,000","NEWARK, CA",02/20/2019,02/28/2019
ATIEVA USA INC,"MECHANICAL ENGINEER, HARDWARE DESIGN AND PACKAGING","115,000","NEWARK, CA",02/26/2019,08/28/2019
ATIEVA USA INC,"MECHANICAL ENGINEER, HARDWARE DESIGN AND PACKAGING","125,000","NEWARK, CA",07/16/2020,07/27/2020
ATIEVA USA INC,MOTION DESIGNER,"105,000","NEWARK, CA",03/09/2020,04/06/2020
ATIEVA USA INC,"MOTION PLANNING AND CONTROLS ENGINEER, AUTONOMOUS DRIVING","175,000","NEWARK, CA",01/10/2020,02/03/2020
ATIEVA USA INC,NAVIGATION TECHNOLOGY ENGINEER,"95,347","NEWARK, CA",03/09/2020,03/30/2020
ATIEVA USA INC,NPI PRODUCT MANAGER,"145,000","NEWARK, CA",07/06/2020,07/06/2020
ATIEVA USA INC,NPI PROJECT ENGINEER,"110,000","NEWARK, CA",08/20/2020,08/27/2020
ATIEVA USA INC,NVH CAE ENGINEER,"110,000","NEWARK, CA",05/01/2020,10/01/2020
ATIEVA USA INC,PACKAGING DESIGN ENGINEER,"110,000","NEWARK, CA",06/01/2020,06/15/2020
ATIEVA USA INC,PACKAGING DESIGN ENGINEER,"110,000","PARKER, CO",06/18/2020,06/29/2020
ATIEVA USA INC,PKI ENGINEER,"170,000","NEWARK, CA",04/13/2020,10/01/2020
