24M TECHNOLOGIES INC
A123
A123 SYSTEMS LLC
ACRO SERVICE CORPORATION
ACTIA CORPORATION
AGGREKO LLC
ALBEMARLE CORPORATION
ALTAIR PRODUCTDESIGN INC
ALVEO ENERGY INC
AMERICAN BATTERY SOLUTIONS
AMERICAN BATTERY SOLUTIONS INC
AMPRIUS INC
ANGSTRON ENERGY COMPANY
APPLE INC
AQUION ENERGY INC
ASCII GROUP LLC
ATIEVA USA INC
ATLIS MOTOR VEHICLES
AQUIONIX INC
ATIEVA INC
ATIEVA USA INC DBA LUCID MOTORS USA INC
ATLIS MOTOR VEHICLES LLC
BATTELLE ENERGY ALLIANCE LLC
BATTELLE MEMORIAL INSTITUTE
BELCAN SERVICES GROUP LTD PARTNERSHIP
BRIGHTVOLT INC
CADENZA INNOVATION INC
CAMEL ENERGY INC
CHARGE CCCV LLC
CUBERG INC
CUMMINS INC
CANOO TECHNOLOGIES INC
CANOO INC
CONAMIX INC
CONTEMPORARY AMPEREX TECHNOLOGY USA INC
CONTEMPORARY AMPEREX TECHNOLOGY (USA) INC
ENERDEL INC
ENSYNC INC
EOCELL INC
ENPOWERED SOLUTIONS LLC
ENPOWER GREENTECH INC
ENERSYS DELAWARE INC
ENERSYS DELWARE INC
ENERVENUE INC
ENEVATE CORPORATION
ENOVIX CORPORATION
FARADAY & FUTURE INC
FARADAY SEMI INC
FARADAY AND FUTURE INC
FARADAY INC
FARADAY TECHNOLOGY CORP
FARADAY GRID LTD
FARADAY&FUTURE INC
FARASIS ENERGY INC
FCA US LLC
FCA US LLLC
FLUIDIC INC
FORD MOTOR COMPANY
FORM ENERGY INC
FARASIS ENERGY USA INC
FEASIBLE INC
FORD MOTOR CREDIT COMPANY
FORD MOTOR CREDIT COMPANY LLC
GENERAL MOTORS COMPANY
GLOBAL GRAPHENE GROUP
GLOBAL GRAPHENE GROUP INC
GROUP 14 ENGINEERING INC
HYLIION INC
HYPERLOOP TECHNOLOGIES INC
IMPRINT ENERGY INC
INDEPTH ENGINEERING SOLUTIONS LLC
JOBY AERO INC
JOHNSON CONTROLS INC
JOBY AVIATION LLC
JOHNSON CONTROLS BATTERY GROUP LLC
JOHNSON CONTROLS BATTERY GROUP INC
JOHNSON CONTROLS INJECTION MOLDING LLC
JOHNSON CONTROLS SYSTEMS ENGINEERING
JOHNSON CONTROLS FIRE PROTECTION LP
JOHNSON CONTROLS SYSTEMS ENGINEERING LLC
JOHNSON CONTROLS SECURITY SOLUTIONS LLC
JOHNSON CONTROLS-HITACHI AIR CONDITIONING NORTH AMERICA LLC
KARMA AUTOMOTIVE LLC
KITTY HAWK CORPORATION
LG CHEM MICHIGAN INC
LIONANO SE INC
LORDSTOWN MOTORS CORP
LI-CYCLE INC
LILAC SOLUTIONS INC
LUCID USA INC
MICROVAST INC
MILWAUKEE ELECTRIC TOOL CORPORATION
MOLECULAR REBAR DESIGN LLC
MAXWELL TECHNOLOGIES INC
NANOSTAR INC
NATRON ENERGY INC
NISSAN NORTH AMERICA INC
NOHMS TECHNOLOGIES INC
NANOGRAF CORPORATION
NATRONA COUNTY SCHOOL DISTRICT #1
NATRONA COUNTY SCHOOL DISTRICT 1
NEXEON TECHNOLOGY & BUSINESS SERVICES LLC
NEXEON INTERNATIONAL CORPORATION
NEXEON TECHNOLOGY & BUSINESS SERVICES
NIKOLA MOTOR COMPANY
NIKOLA CORPORATION
NIKOLA LLC D/B/A NIKOLA POWER
NIKOLA LABS INC
NIO USA INC
PANASONIC CORPORATION OF NORTH AMERICA
POSTMATES INC
PRINTED ENERGY PTY LTD
POLYPLUS BATTERY COMPANY
QUANTUMSCAPE CORPORATION
QUANTUMSCAPE BATTERY INC
RIVIAN AUTOMOTIVE LLC
ROMEO SYSTEMS INC
RECURRENT ENERGY DEVELOPMENT HOLDINGS LLC
RECURRENT ENERGY
RECURRENT ENERGY LLC
RECURRENT MOTORS INC
RECURRENT ENERGY DEVELOPMENT HOLDINGLLC
REDWOOD MATERIALS INC
RIVIAN LLC
RIVIANA FOODS INC
SAKTI3 INC
SAKUU CORPORATION
SEEO INC
SF MOTORS INC
SF MOTORS INC D/B/A SERES INC
SIEMENS INDUSTRY SOFTWARE INC
SIENZA INC
SOLIDENERGY SYSTEMS LLC
STAQ ENERGY INC
SAMSUNG SDI AMERICA INC
SILA NANOTECHNOLOGIES INCORPORATED
SILA NANOTECHNOLOGIES INC
SION POWER CORPORATION
SOLIDENERGY SYSTEMS CORP
TAE TECHNOLOGIES INC
TESLA INC
TESLA MOTORS INC
THOR TRUCKS INC
TITAN ADVANCED ENERGY SOLUTIONS INC
UNITED SOFTWARE GROUP INC
URBAN ELECTRIC POWER INC
UT-BATTELLE LLC (OAK RIDGE NATIONAL LABORATORY)
VERILY LIFE SCIENCES LLC
VOLKSWAGEN GROUP OF AMERICA INC
VOLKSWAGEN ALHAMBRA
VOLKSWAGEN GROUP OF AMERICA
VOLKSWAGEN GROUP OF AMERICA CHATTANOOGA OPERATIONS LLC
WISK AERO LLC
WORKHORSE TECHNOLOGIES INC
WILDCAT DISCOVERY TECHNOLOGIES INC
XALT ENERGY LLC
XALT ENERGY MI LLC
XENONINFOTEK INC
XERION ADVANCED BATTERY CORP
YOUNICOS INC
YOTTADB LLC
YOTTA SYSTEMS INC
YOTTA SYSTEMS
YOTTA SOLAR INC
YOTTA TECH PORTS INC
YOTTAA INC
YOTTALANDS INC
YOTTA CONNECT LLC
ZENLABS ENERGY INC
ZEPTOR CORPORATION
ZOOX INC
MITRA FUTURE TECHNOLOGIES INC
